Hype boy,NewJeans,positive,https://www.youtube.com/watch?v=11cta61wi0g
Nxde,(여자)아이들,positive,https://www.youtube.com/watch?v=fCO7f0SmrDc
FEARLESS,LE SSERAFIM (르세라핌),positive,https://www.youtube.com/watch?v=4vbDFu0PUew
After LIKE,IVE (아이브),positive,https://www.youtube.com/watch?v=F0B7HDiY-10
LOVE DIVE,IVE (아이브),positive,https://www.youtube.com/watch?v=8AMBslo1zng
ELEVEN,IVE (아이브),positive,https://www.youtube.com/watch?v=--FmExEAsM8
뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,positive,https://www.youtube.com/watch?v=IHNzOHi8sJs
휘파람,BLACKPINK,positive,https://www.youtube.com/watch?v=dISNgvVpWlo
마지막처럼,BLACKPINK,positive,https://www.youtube.com/watch?v=Amq-qlqbjYA
Pink Venom,BLACKPINK,positive,https://www.youtube.com/watch?v=gQlMMD8auMs
Black Mamba,aespa,positive,https://www.youtube.com/watch?v=ZeerrnuLi5E
Dreams Come True,aespa,positive,https://www.youtube.com/watch?v=H69tJmsgd9I
도깨비불 (Illusion),aespa,positive,https://www.youtube.com/watch?v=BpCvYeK5hcE
DICE,NMIXX,positive,https://www.youtube.com/watch?v=p1bjnyDqI9k
Savage,aespa,positive,https://www.youtube.com/watch?v=WPdWvnAAurg
혜성,윤하 (YOUNHA),positive,https://www.youtube.com/watch?v=LuqRkCDTMBY
매직 카펫 라이드,자우림,positive,https://www.youtube.com/watch?v=cvpU-7BO0JE
I Really Like You,Carly Rae Jepsen,positive,https://www.youtube.com/watch?v=qV5lzRHrGeg
안녕 (Hello),조이 (JOY),positive,https://www.youtube.com/watch?v=lNvBbh5jDcA
제주도의 푸른 밤,태연 (TAEYEON),positive,https://www.youtube.com/watch?v=JVZSJ0remok
RUN2U,STAYC(스테이씨),positive,https://www.youtube.com/watch?v=grG41kS4MUA
달라달라,ITZY (있지),positive,https://www.youtube.com/watch?v=pNfTK39k55U
첫 사랑니 (Rum Pum Pum Pum,f(x),positive,https://www.youtube.com/watch?v=xnku4o3tRB4
All Mine,f(x),positive,https://www.youtube.com/watch?v=Z0S3knWIdrY
Permission to Dance,방탄소년단,positive,https://www.youtube.com/watch?v=U0gaYpGfKRo
롤린 (New Version),브레이브걸스,positive,https://www.youtube.com/watch?v=MthLgPs7oU4
하늘을 달리다,허각,positive,https://www.youtube.com/watch?v=l1BPv13eOKw
다른 남자 말고 너,미쓰에이,positive,https://www.youtube.com/watch?v=zO9RzrhYR-I
Bad Girl Good Girl,미쓰에이,positive,https://www.youtube.com/watch?v=8TeeJvcBdLA
"Try Everything (From ""Zootopia""/Soundtrack)",Shakira,positive,https://www.youtube.com/watch?v=c6rP-YP4c5I
다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)",positive,https://www.youtube.com/watch?v=ESKfHHtiSjs
bad guy,Billie Eilish,positive,https://www.youtube.com/watch?v=DyDfgMOUjCI
We The One,SakaZan,positive,https://www.youtube.com/watch?v=rxLVSsuE8ro